,0
700,121.190002
701,120.709999
702,119.019997
703,115.980003
704,117.510002
705,116.870003
706,115.75
707,115.040001
708,115.050003
709,116.599998
710,111.199997
711,115.32
712,108.860001
713,108.769997
714,110.440002
715,114.949997
716,119.029999
717,118.690002
718,116.32
719,115.970001
720,119.489998
721,119.209999
722,119.260002
723,120.300003
724,119.389999
725,118.029999
726,118.639999
727,117.339996
728,113.849998
729,115.169998
730,116.029999
731,116.589996
732,119.050003
733,122.720001
734,123.080002
735,122.940002
736,122.25
737,123.75
738,124.379997
739,121.779999
740,123.239998
741,122.410004
742,121.779999
743,127.879997
744,127.809998
745,128.699997
746,126.660004
747,128.229996
748,131.880005
749,130.960007
750,131.970001
751,136.690002
752,134.869995
753,133.720001
754,132.690002
755,129.410004
756,131.009995
757,126.599998
758,130.919998
759,132.050003
760,128.979996
761,128.800003
762,130.889999
763,128.910004
764,127.139999
765,127.830002
766,132.029999
767,136.869995
768,139.070007
769,142.919998
770,143.160004
771,142.059998
772,137.089996
773,131.960007
774,134.139999
775,134.990005
776,133.940002
777,137.389999
778,136.759995
779,136.910004
780,136.009995
781,135.389999
782,135.130005
783,135.369995
784,133.190002
785,130.839996
786,129.710007
787,129.869995
788,126.0
789,125.860001
790,125.349998
791,120.989998
792,121.260002
793,127.790001
794,125.120003
795,122.059998
796,120.129997
797,121.419998
798,116.360001
799,121.089996
800,119.980003
801,121.959999
802,121.029999
803,123.989998
804,125.57
805,124.760002
806,120.529999
807,119.989998
808,123.389999
809,122.540001
810,120.089996
811,120.589996
812,121.209999
813,121.389999
814,119.900002
815,122.150002
816,123.0
817,125.900002
818,126.209999
819,127.900002
820,130.360001
821,133.0
822,131.240005
823,134.429993
824,132.029999
825,134.5
826,134.160004
827,134.839996
828,133.110001
829,133.5
830,131.940002
831,134.320007
832,134.720001
833,134.389999
834,133.580002
835,133.479996
836,131.460007
837,132.539993
838,127.849998
839,128.100006
840,129.740005
841,130.210007
842,126.849998
843,125.910004
844,122.769997
